date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2021-07-29,41130000,3437629,87129,008.36 %,1938495,63537,004.71 %
2021-07-30,41130000,3525848,88219,008.57 %,2000356,61861,004.86 %
2021-07-31,41130000,3571445,45597,008.68 %,2023258,22902,004.92 %
2021-08-01,41130000,3599167,27722,008.75 %,2033616,10358,004.94 %
2021-08-02,41130000,3669511,70344,008.92 %,2088433,54817,005.08 %
2021-08-03,41130000,3759403,89892,009.14 %,2151799,63366,005.23 %
2021-08-04,41130000,3855093,95690,009.37 %,2215230,63431,005.39 %
2021-08-05,41130000,3953540,98447,009.61 %,2284166,68936,005.55 %
2021-08-06,41130000,4055090,101550,009.86 %,2353218,69052,005.72 %
2021-08-07,41130000,4106083,50993,009.98 %,2381190,27972,005.79 %
2021-08-08,41130000,4137071,30988,010.06 %,2401647,20457,005.84 %
2021-08-09,41130000,4220768,83697,010.26 %,2457958,56311,005.98 %
2021-08-10,41130000,4324551,103783,010.51 %,2521848,63890,006.13 %
2021-08-11,41130000,4423103,98552,010.75 %,2577173,55325,006.27 %
2021-08-12,41130000,4538441,115338,011.03 %,2633317,56144,006.40 %
2021-08-13,41130000,4644647,106206,011.29 %,2688903,55586,006.54 %
2021-08-14,41130000,4691018,46371,011.41 %,2718680,29777,006.61 %
2021-08-15,41130000,4722693,31675,011.48 %,2738073,19393,006.66 %
2021-08-16,41130000,4793098,70405,011.65 %,2791305,53232,006.79 %
2021-08-17,41130000,4849333,56235,011.79 %,2848109,56804,006.92 %
2021-08-18,41130000,4912047,62714,011.94 %,2905399,57290,007.06 %
2021-08-19,41130000,4969544,57497,012.08 %,2976929,71530,007.24 %
2021-08-20,41130000,5032720,63176,012.24 %,3066426,89497,007.46 %
2021-08-21,41130000,5057068,24348,012.30 %,3108251,41825,007.56 %
2021-08-22,41130000,5071658,14590,012.33 %,3136376,28125,007.63 %
2021-08-23,41130000,5099800,28142,012.40 %,3179661,43285,007.73 %
2021-08-24,41130000,5108072,8272,012.42 %,3192128,12467,007.76 %
2021-08-25,41130000,5149574,41502,012.52 %,3303735,111607,008.03 %
2021-08-26,41130000,5208198,58624,012.66 %,3427847,124112,008.33 %
2021-08-27,41130000,5262917,54719,012.80 %,3530378,102531,008.58 %
2021-08-28,41130000,5292689,29772,012.87 %,3588173,57795,008.72 %
2021-08-29,41130000,5306009,13320,012.90 %,3616330,28157,008.79 %
2021-08-30,41130000,5356699,50690,013.02 %,3716122,99792,009.03 %
2021-08-31,41130000,5413770,57071,013.16 %,3825401,109279,009.30 %
2021-09-01,41130000,5452123,38353,013.26 %,3903341,77940,009.49 %
2021-09-02,41130000,5498949,46826,013.37 %,4005797,102456,009.74 %
2021-09-03,41130000,5548619,49670,013.49 %,4119462,113665,010.02 %
2021-09-04,41130000,5569049,20430,013.54 %,4178665,59203,010.16 %
2021-09-05,41130000,5581416,12367,013.57 %,4208085,29420,010.23 %
2021-09-06,41130000,5617670,36254,013.66 %,4302846,94761,010.46 %
2021-09-07,41130000,5663553,45883,013.77 %,4403066,100220,010.71 %
2021-09-08,41130000,5720846,57293,013.91 %,4505858,102792,010.96 %
2021-09-09,41130000,5789252,68406,014.08 %,4618573,112715,011.23 %
2021-09-10,41130000,5860640,71388,014.25 %,4730712,112139,011.50 %
2021-09-11,41130000,5889810,29170,014.32 %,4775986,45274,011.61 %
2021-09-12,41130000,5906740,16930,014.36 %,4804204,28218,011.68 %
2021-09-13,41130000,5960017,53277,014.49 %,4884904,80700,011.88 %
2021-09-14,41130000,6026347,66330,014.65 %,4957982,73078,012.05 %
2021-09-15,41130000,6091241,64894,014.81 %,5007962,49980,012.18 %
2021-09-16,41130000,6161976,70735,014.98 %,5058667,50705,012.30 %
2021-09-17,41130000,6236049,74073,015.16 %,5111558,52891,012.43 %
2021-09-18,41130000,6270792,34743,015.25 %,5135420,23862,012.49 %
2021-09-19,41130000,6291910,21118,015.30 %,5150331,14911,012.52 %
2021-09-20,41130000,6354819,62909,015.45 %,5196158,45827,012.63 %
2021-09-21,41130000,6425956,71137,015.62 %,5243799,47641,012.75 %
2021-09-22,41130000,6527040,101084,015.87 %,5299317,55518,012.88 %
2021-09-23,41130000,6624026,96986,016.10 %,5355959,56642,013.02 %
2021-09-24,41130000,6720911,96885,016.34 %,5418078,62119,013.17 %
2021-09-25,41130000,6759689,38778,016.43 %,5443521,25443,013.23 %
2021-09-26,41130000,6781525,21836,016.49 %,5458838,15317,013.27 %
2021-09-27,41130000,6851529,70004,016.66 %,5508212,49374,013.39 %
2021-09-28,41130000,6926717,75188,016.84 %,5565270,57058,013.53 %
2021-09-29,41130000,7000533,73816,017.02 %,5617457,52187,013.66 %
2021-09-30,41130000,7072801,72268,017.20 %,5674722,57265,013.80 %
2021-10-01,41130000,7144468,71667,017.37 %,5731125,56403,013.93 %
2021-10-02,41130000,7173268,28800,017.44 %,5755315,24190,013.99 %
2021-10-03,41130000,7190641,17373,017.48 %,5771866,16551,014.03 %
2021-10-04,41130000,7242113,51472,017.61 %,5820725,48859,014.15 %
2021-10-05,41130000,7300772,58659,017.75 %,5879300,58575,014.29 %
2021-10-06,41130000,7360200,59428,017.89 %,5942170,62870,014.45 %
2021-10-07,41130000,7421450,61250,018.04 %,6008605,66435,014.61 %
2021-10-08,41130000,7495411,73961,018.22 %,6083379,74774,014.79 %
2021-10-09,41130000,7529594,34183,018.31 %,6115249,31870,014.87 %
2021-10-10,41130000,7548871,19277,018.35 %,6135032,19783,014.92 %
2021-10-11,41130000,7609047,60176,018.50 %,6198086,63054,015.07 %
2021-10-12,41130000,7688562,79515,018.69 %,6271274,73188,015.25 %
2021-10-13,41130000,7774484,85922,018.90 %,6349739,78465,015.44 %
2021-10-14,41130000,7794187,19703,018.95 %,6364933,15194,015.47 %
2021-10-15,41130000,7873767,79580,019.14 %,6433791,68858,015.64 %
2021-10-16,41130000,7922413,48646,019.26 %,6467945,34154,015.73 %
2021-10-17,41130000,7956093,33680,019.34 %,6490162,22217,015.78 %
2021-10-18,41130000,8065760,109667,019.61 %,6573564,83402,015.98 %
2021-10-19,41130000,8207901,142141,019.96 %,6658010,84446,016.19 %
2021-10-20,41130000,8373550,165649,020.36 %,6743615,85605,016.40 %
2021-10-21,41130000,8557657,184107,020.81 %,6829174,85559,016.60 %
2021-10-22,41130000,8760922,203265,021.30 %,6915377,86203,016.81 %
2021-10-23,41130000,8890452,129530,021.62 %,6963577,48200,016.93 %
2021-10-24,41130000,8965692,75240,021.80 %,6989668,26091,016.99 %
2021-10-25,41130000,9151478,185786,022.25 %,7058802,69134,017.16 %
2021-10-26,41130000,9363491,212013,022.77 %,7138082,79280,017.35 %
2021-10-27,41130000,9576175,212684,023.28 %,7217383,79301,017.55 %
2021-10-28,41130000,9790278,214103,023.80 %,7292521,75138,017.73 %
2021-10-29,41130000,10022976,232698,024.37 %,7377032,84511,017.94 %
2021-10-30,41130000,10156227,133251,024.69 %,7421546,44514,018.04 %
2021-10-31,41130000,10245773,89546,024.91 %,7449818,28272,018.11 %
2021-11-01,41130000,10453650,207877,025.42 %,7515248,65430,018.27 %
2021-11-02,41130000,10682750,229100,025.97 %,7596587,81339,018.47 %
2021-11-03,41130000,10895718,212968,026.49 %,7682891,86304,018.68 %
2021-11-04,41130000,10895718,,026.49 %,7682891,,018.68 %
2021-11-05,41130000,11269339,373621,027.40 %,7858507,175616,019.11 %
2021-11-06,41130000,11354679,85340,027.61 %,7904573,46066,019.22 %
2021-11-07,41130000,11406282,51603,027.73 %,7938053,33480,019.30 %
2021-11-08,41130000,11546721,140439,028.07 %,8038054,100001,019.54 %
2021-11-09,41130000,11697384,150663,028.44 %,8154792,116738,019.83 %
2021-11-10,41130000,11844728,147344,028.80 %,8284545,129753,020.14 %
2021-11-11,41130000,11986075,141347,029.14 %,8422334,137789,020.48 %
2021-11-12,41130000,12121802,135727,029.47 %,8586461,164127,020.88 %
2021-11-13,41130000,12187559,65757,029.63 %,8665945,79484,021.07 %
2021-11-14,41130000,12228642,41083,029.73 %,8722235,56290,021.21 %
2021-11-15,41130000,12331550,102908,029.98 %,8887415,165180,021.61 %
2021-11-16,41130000,12445579,114029,030.26 %,9068241,180826,022.05 %
2021-11-17,41130000,12554333,108754,030.52 %,9257319,189078,022.51 %
2021-11-18,41130000,12657190,102857,030.77 %,9448782,191463,022.97 %
2021-11-19,41130000,12755984,98794,031.01 %,9661304,212522,023.49 %
2021-11-20,41130000,12805744,49760,031.13 %,9763865,102561,023.74 %
2021-11-21,41130000,12835126,29382,031.21 %,9834309,70444,023.91 %
2021-11-22,41130000,12914333,79207,031.40 %,10025360,191051,024.37 %
2021-11-23,41130000,13000632,86299,031.61 %,10225182,199822,024.86 %
2021-11-24,41130000,13083133,82501,031.81 %,10418000,192818,025.33 %
2021-11-25,41130000,13164649,81516,032.01 %,10610359,192359,025.80 %
2021-11-26,41130000,13246108,81459,032.21 %,10808676,198317,026.28 %
2021-11-27,41130000,13289461,43353,032.31 %,10904799,96123,026.51 %
2021-11-28,41130000,13320530,31069,032.39 %,10967700,62901,026.67 %
2021-11-29,41130000,13391654,71124,032.56 %,11122635,154935,027.04 %
2021-11-30,41130000,13468633,76979,032.75 %,11279127,156492,027.42 %
2021-12-01,41130000,13543488,74855,032.93 %,11415141,136014,027.75 %
2021-12-02,41130000,13610068,66580,033.09 %,11549490,134349,028.08 %
2021-12-03,41130000,13685625,75557,033.27 %,11690062,140572,028.42 %
2021-12-04,41130000,13725903,40278,033.37 %,11762441,72379,028.60 %
2021-12-05,41130000,13753064,27161,033.44 %,11806077,43636,028.70 %
2021-12-06,41130000,13826161,73097,033.62 %,11921738,115661,028.99 %
2021-12-07,41130000,13905431,79270,033.81 %,12042233,120495,029.28 %
2021-12-08,41130000,13974698,69267,033.98 %,12151762,109529,029.54 %
2021-12-09,41130000,14031951,57253,034.12 %,12252237,100475,029.79 %
2021-12-10,41130000,14087749,55798,034.25 %,12364798,112561,030.06 %
2021-12-11,41130000,14114892,27143,034.32 %,12420911,56113,030.20 %
2021-12-12,41130000,14131443,16551,034.36 %,12457651,36740,030.29 %
2021-12-13,41130000,14174399,42956,034.46 %,12544437,86786,030.50 %
2021-12-14,41130000,14221536,47137,034.58 %,12640221,95784,030.73 %
2021-12-15,41130000,14269055,47519,034.69 %,12735628,95407,030.96 %
2021-12-16,41130000,14312994,43939,034.80 %,12824666,89038,031.18 %
2021-12-17,41130000,14355538,42544,034.90 %,12919024,94358,031.41 %
2021-12-18,41130000,14375344,19806,034.95 %,12961886,42862,031.51 %
2021-12-19,41130000,14386385,11041,034.98 %,12986872,24986,031.57 %
2021-12-20,41130000,14422441,36056,035.07 %,13061477,74605,031.76 %
2021-12-21,41130000,14461447,39006,035.16 %,13141446,79969,031.95 %
2021-12-22,41130000,14500518,39071,035.25 %,13219547,78101,032.14 %
2021-12-23,41130000,14537064,36546,035.34 %,13296090,76543,032.33 %
2021-12-24,41130000,14574569,37505,035.44 %,13374911,78821,032.52 %
2021-12-25,41130000,14583759,9190,035.46 %,13393627,18716,032.56 %
2021-12-26,41130000,14592535,8776,035.48 %,13414061,20434,032.61 %
2021-12-27,41130000,14605033,12498,035.51 %,13447292,33231,032.69 %
2021-12-28,41130000,14639496,34463,035.59 %,13542266,94974,032.93 %
2021-12-29,41130000,14671167,31671,035.67 %,13625553,83287,033.13 %
2021-12-30,41130000,14698232,27065,035.74 %,13698387,72834,033.30 %
2021-12-31,41130000,14713309,15077,035.77 %,13734741,36354,033.39 %
2022-01-01,41130000,14713309,,035.77 %,13734741,,033.39 %
2022-01-02,41130000,14713309,,035.77 %,13734741,,033.39 %
2022-01-03,41130000,14721820,8511,035.79 %,13762162,27421,033.46 %
2022-01-04,41130000,14748322,26502,035.86 %,13835698,73536,033.64 %
2022-01-05,41130000,14778319,29997,035.93 %,13904767,69069,033.81 %
2022-01-06,41130000,14800316,21997,035.98 %,13949603,44836,033.92 %
2022-01-07,41130000,14800316,,035.98 %,13949603,,033.92 %
2022-01-08,41130000,14807334,7018,036.00 %,13967028,17425,033.96 %
2022-01-09,41130000,14813184,5850,036.02 %,13979378,12350,033.99 %
2022-01-10,41130000,14842426,29242,036.09 %,14036644,57266,034.13 %
2022-01-11,41130000,14875714,33288,036.17 %,14095992,59348,034.27 %
2022-01-12,41130000,14909166,33452,036.25 %,14149334,53342,034.40 %
2022-01-13,41130000,14941500,32334,036.33 %,14194799,45465,034.51 %
2022-01-14,41130000,14971998,30498,036.40 %,14237926,43127,034.62 %
2022-01-15,41130000,14985041,13043,036.43 %,14256686,18760,034.66 %
2022-01-16,41130000,14993075,8034,036.45 %,14267616,10930,034.69 %
2022-01-17,41130000,15022922,29847,036.53 %,14303839,36223,034.78 %
2022-01-18,41130000,15053123,30201,036.60 %,14340583,36744,034.87 %
2022-01-19,41130000,15080099,26976,036.66 %,14372921,32338,034.94 %
2022-01-20,41130000,15109349,29250,036.74 %,14407826,34905,035.03 %
2022-01-21,41130000,15141197,31848,036.81 %,14440689,32863,035.11 %
2022-01-22,41130000,15155836,14639,036.85 %,14454345,13656,035.14 %
2022-01-23,41130000,15164116,8280,036.87 %,14463180,8835,035.16 %
2022-01-24,41130000,15191377,27261,036.93 %,14487880,24700,035.22 %
2022-01-25,41130000,15221306,29929,037.01 %,14516864,28984,035.29 %
2022-01-26,41130000,15250200,28894,037.08 %,14546590,29726,035.37 %
2022-01-27,41130000,15278385,28185,037.15 %,14573818,27228,035.43 %
2022-01-28,41130000,15306057,27672,037.21 %,14597530,23712,035.49 %
2022-01-29,41130000,15318149,12092,037.24 %,14608930,11400,035.52 %
2022-01-30,41130000,15324673,6524,037.26 %,14616583,7653,035.54 %
2022-01-31,41130000,15347951,23278,037.32 %,14645012,28429,035.61 %
2022-02-01,41130000,15364681,16730,037.36 %,14663252,18240,035.65 %
2022-02-02,41130000,15396723,32042,037.43 %,14700198,36946,035.74 %
2022-02-03,41130000,15431277,34554,037.52 %,14743829,43631,035.85 %
2022-02-04,41130000,15453629,22352,037.57 %,14773537,29708,035.92 %
2022-02-05,41130000,15463811,10182,037.60 %,14787725,14188,035.95 %
2022-02-06,41130000,15469552,5741,037.61 %,14795753,8028,035.97 %
2022-02-07,41130000,15478006,8454,037.63 %,14809443,13690,036.01 %
2022-02-08,41130000,15499218,21212,037.68 %,14840450,31007,036.08 %
2022-02-09,41130000,15520585,21367,037.74 %,14869937,29487,036.15 %
2022-02-10,41130000,15541411,20826,037.79 %,14900578,30641,036.23 %
2022-02-11,41130000,15561671,20260,037.83 %,14932864,32286,036.31 %
2022-02-12,41130000,15572034,10363,037.86 %,14949233,16369,036.35 %
