date,total_population,total_infected,new_infection_cases,total_death,new_death_cases,total_recovered,new_recovered_cases,stil_infected
2020-12-11,416299000,872228,13514,14755,285,480348,15327,377125
2020-12-12,416299000,885039,12811,14998,243,494001,13653,376040
2020-12-13,416299000,894215,9176,15154,156,501564,7563,377497
2020-12-14,416299000,900666,6451,15247,93,506718,5154,378701
2020-12-15,416299000,909082,8416,15480,233,522868,16150,370734
2020-12-16,416299000,919704,10622,15744,264,535417,12549,368543
2020-12-17,416299000,931751,12047,15996,252,548356,12939,367399
2020-12-18,416299000,944381,12630,16256,260,561222,12866,366903
2020-12-19,416299000,956123,11742,16469,213,574536,13314,365118
2020-12-20,416299000,964448,8325,16585,116,581162,6626,366701
2020-12-21,416299000,970993,6545,16665,80,586268,5106,368060
2020-12-22,416299000,979506,8513,16897,232,600288,14020,362321
2020-12-23,416299000,989642,10136,17172,275,615660,15372,356810
2020-12-24,416299000,1001132,11490,17395,223,631435,15775,352302
2020-12-25,416299000,1012167,11035,17581,186,646772,15337,347814
2020-12-26,416299000,1019876,7709,17702,121,651917,5145,350257
2020-12-27,416299000,1025989,6113,17774,72,658538,6621,349677
2020-12-28,416299000,1030374,4385,17849,75,665729,7191,346796
2020-12-29,416299000,1037362,6988,18081,232,681835,16106,337446
2020-12-30,416299000,1045348,7986,18324,243,698190,16355,328834
2020-12-31,416299000,1055047,9699,18533,209,709993,11803,326521
2021-01-02,415884000,1069517,5038,18731,51,722615,2606,328171
2021-01-03,415884000,1074093,4576,18854,123,728865,6250,326374
2021-01-04,415884000,1078251,4158,18927,73,733558,4693,325766
2021-01-05,415884000,1083585,5334,19129,202,747408,13850,317048
2021-01-06,415884000,1090496,6911,19357,228,761898,14490,309241
2021-01-07,415884000,1099493,8997,19505,148,773214,11316,306774
2021-01-08,415884000,1105169,5676,19588,83,778345,5131,307236
2021-01-09,415884000,1110015,4846,19668,80,786306,7961,304041
2021-01-10,415884000,1115026,5011,19767,99,791598,5292,303661
2021-01-11,415884000,1119314,4288,19835,68,796417,4819,303062
2021-01-12,415884000,1124430,5116,20019,184,812368,15951,292043
2021-01-13,415884000,1130839,6409,20214,195,826871,14503,283754
2021-01-14,415884000,1138764,7925,20376,162,837063,10192,281325
2021-01-15,415884000,1146963,8199,20542,166,847391,10328,279030
2021-01-16,415884000,1154692,7729,20686,144,857183,9792,276823
2021-01-17,415884000,1160682,5990,20802,116,865960,8777,273920
2021-01-18,415884000,1163716,3034,20869,67,871196,5236,271651
2021-01-19,415884000,1167655,3939,21046,177,886248,15052,260361
2021-01-20,415884000,1172038,4383,21258,212,900749,14501,250031
2021-01-21,415884000,1177621,5583,21499,241,914730,13981,241392
2021-01-22,415884000,1182969,5348,21662,163,928969,14239,232338
2021-01-23,415884000,1187897,4928,21778,116,942107,13138,224012
2021-01-24,415884000,1191812,3915,21861,83,947514,5407,222437
2021-01-25,415884000,1194328,2516,21924,63,953297,5783,219107
2021-01-26,415884000,1197107,2779,22057,133,965835,12538,209215
2021-01-27,415884000,1200883,3776,22202,145,980085,14250,198596
2021-01-28,415884000,1206412,5529,22351,149,992031,11946,192030
2021-01-29,415884000,1211593,5181,22479,128,1003341,11310,185773
2021-01-30,415884000,1216278,4685,22628,149,1014658,11317,178992
2021-01-31,415884000,1219455,3177,22707,79,1018784,4126,177964
2021-02-01,415548000,1221485,2030,22768,61,1023915,5131,174802
2021-02-02,415548000,1223879,2394,22924,156,1035372,11457,165583
2021-02-03,415548000,1227164,3285,23089,165,1045473,10101,158602
2021-02-04,415548000,1232246,5082,23229,140,1055406,9933,153611
2021-02-05,415548000,1237169,4923,23387,158,1063591,8185,150191
2021-02-06,415548000,1241479,4310,23516,129,1070749,7158,147214
2021-02-07,415548000,1244849,3370,23597,81,1073046,2297,148206
2021-02-08,415548000,1246990,2141,23644,47,1075743,2697,147603
2021-02-09,415548000,1249646,2656,23771,127,1084608,8865,141267
2021-02-10,415548000,1253055,3409,23934,163,1092376,7768,136745
2021-02-11,415548000,1258094,5039,24058,124,1098944,6568,135092
2021-02-12,415548000,1262867,4773,24174,116,1106155,7211,132538
2021-02-13,415548000,1268049,5182,24285,111,1112299,6144,131465
2021-02-14,415548000,1271143,3094,24330,45,1114301,2002,132512
2021-02-15,415548000,1273475,2332,24392,62,1116779,2478,132304
2021-02-16,415548000,1276618,3143,24542,150,1122968,6189,129108
2021-02-17,415548000,1280904,4286,24689,147,1128895,5927,127320
2021-02-18,415548000,1287141,6237,24852,163,1134120,5225,128169
