date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2021-06-17,1141000,41195,86,003.61 %,9661,1512,000.85 %
2021-06-18,1141000,42711,1516,003.74 %,10126,465,000.89 %
2021-06-19,1141000,43046,335,003.77 %,10208,82,000.89 %
2021-06-20,1141000,43046,,003.77 %,10208,,000.89 %
2021-06-21,1141000,43076,30,003.78 %,10208,,000.89 %
2021-06-22,1141000,43458,382,003.81 %,10848,640,000.95 %
2021-06-23,1141000,44783,1325,003.93 %,11812,964,001.04 %
2021-06-24,1141000,46375,1592,004.06 %,12927,1115,001.13 %
2021-06-25,1141000,47446,1071,004.16 %,14110,1183,001.24 %
2021-06-26,1141000,48151,705,004.22 %,14566,456,001.28 %
2021-06-27,1141000,48369,218,004.24 %,14772,206,001.29 %
2021-06-28,1141000,48717,348,004.27 %,14977,205,001.31 %
2021-06-29,1141000,49288,571,004.32 %,16564,1587,001.45 %
2021-06-30,1141000,50293,1005,004.41 %,18875,2311,001.65 %
2021-07-01,1141000,51062,769,004.48 %,20654,1779,001.81 %
2021-07-02,1141000,52209,1147,004.58 %,21949,1295,001.92 %
2021-07-03,1141000,52828,619,004.63 %,22502,553,001.97 %
2021-07-04,1141000,53013,185,004.65 %,22673,171,001.99 %
2021-07-05,1141000,53569,556,004.70 %,23859,1186,002.09 %
2021-07-06,1141000,54495,926,004.78 %,25227,1368,002.21 %
2021-07-07,1141000,55806,1311,004.89 %,27062,1835,002.37 %
2021-07-08,1141000,56872,1066,004.98 %,29073,2011,002.55 %
2021-07-09,1141000,57737,865,005.06 %,30391,1318,002.66 %
2021-07-10,1141000,57968,231,005.08 %,30566,175,002.68 %
2021-07-11,1141000,57994,26,005.08 %,30764,198,002.70 %
2021-07-12,1141000,58418,424,005.12 %,31673,909,002.78 %
2021-07-13,1141000,59285,867,005.20 %,32883,1210,002.88 %
2021-07-14,1141000,60127,842,005.27 %,34326,1443,003.01 %
2021-07-15,1141000,61044,917,005.35 %,35695,1369,003.13 %
2021-07-16,1141000,61895,851,005.43 %,36944,1249,003.24 %
2021-07-17,1141000,62937,1042,005.52 %,37558,614,003.29 %
